OMIT_0001001	Anatomy Category
OMIT_0008231	Imitative Behavior
OMIT_0008232	Immersion
OMIT_0008233	Immersion Foot
OMIT_0008234	Immobilization
OMIT_0008235	Immune Adherence Reaction
OMIT_0008236	Immune Complex Diseases
OMIT_0008237	Immune Sera
OMIT_0008238	Immune System
OMIT_0008239	Immune Tolerance
OMIT_0008240	Immunity
OMIT_0008241	Immunity, Active
OMIT_0008242	Immunity, Cellular
OMIT_0008243	Immunity, Maternally-Acquired
OMIT_0008244	Immunity, Innate
OMIT_0008245	Immunization
OMIT_0008246	Immunization Schedule
OMIT_0008247	Immunization, Passive
OMIT_0008248	Immunization, Secondary
OMIT_0008249	Immunoassay
OMIT_0008250	Immunoblastic Lymphadenopathy
OMIT_0008251	Immunochemistry
OMIT_0008252	Immunocompetence
OMIT_0008253	Immunoelectrophoresis
OMIT_0008254	Immunoelectrophoresis, Two-Dimensional
OMIT_0008255	Immunoenzyme Techniques
OMIT_0008256	Immunogenetics
OMIT_0008257	Immunoglobulin Allotypes
OMIT_0008258	Immunoglobulin Constant Regions
OMIT_0008259	Immunoglobulin Fragments
OMIT_0008260	Immunoglobulin Gm Allotypes
OMIT_0008261	Immunoglobulin Idiotypes
OMIT_0008262	Immunoglobulin Km Allotypes
OMIT_0008263	Immunoglobulin Isotypes
OMIT_0008264	Immunoglobulin Joining Region
OMIT_0008265	Immunoglobulin Switch Region
OMIT_0008266	Immunoglobulin Variable Region
OMIT_0008267	Immunoglobulins
OMIT_0008268	Immunoglobulin alpha-Chains
OMIT_0008269	Immunoglobulin delta-Chains
OMIT_0008270	Immunoglobulin epsilon-Chains
OMIT_0008271	Immunoglobulin Fab Fragments
OMIT_0008272	Immunoglobulin Fc Fragments
OMIT_0008273	Immunoglobulin gamma-Chains
OMIT_0008274	Immunoglobulin Heavy Chains
OMIT_0008275	Immunoglobulin J-Chains
OMIT_0008276	Immunoglobulin kappa-Chains
OMIT_0008277	Immunoglobulin lambda-Chains
OMIT_0008278	Immunoglobulin Light Chains
OMIT_0008279	Immunoglobulin mu-Chains
OMIT_0008280	Immunohistochemistry
OMIT_0008281	Immunologic Capping
OMIT_0008282	Immunologic Deficiency Syndromes
OMIT_0008283	Immune System Diseases
OMIT_0008284	Immunologic Factors
OMIT_0008285	Immunologic Memory
OMIT_0008286	Immunologic Surveillance
OMIT_0008287	Immunologic Techniques
OMIT_0008288	Immunologic Tests
OMIT_0008289	Immunoproliferative Disorders
OMIT_0008290	Immunoproliferative Small Intestinal Disease
OMIT_0008291	Immunoproteins
OMIT_0008292	Immunosorbent Techniques
OMIT_0008293	Immunosorbents
OMIT_0008294	Immunosuppression
OMIT_0008295	Immunosuppressive Agents
OMIT_0008296	Immunotherapy
OMIT_0008297	IMP Dehydrogenase
OMIT_0008298	Impetigo
OMIT_0008299	Implosive Therapy
OMIT_0008300	Erectile Dysfunction
OMIT_0008301	Imprinting (Psychology)
OMIT_0008302	Disruptive, Impulse Control, and Conduct Disorders
OMIT_0008303	Impulsive Behavior
OMIT_0008304	Inappropriate ADH Syndrome
OMIT_0008305	Inbreeding
OMIT_0008306	Incest
OMIT_0008307	Incisor
OMIT_0008308	Inclusion Bodies, Viral
OMIT_0008309	Income
OMIT_0008310	Income Tax
OMIT_0008311	Incontinentia Pigmenti
OMIT_0008312	Incubators
OMIT_0008313	Incubators, Infant
OMIT_0008314	Incunabula as Topic
OMIT_0008315	Incus
OMIT_0008316	Indans
OMIT_0008317	Indapamide
OMIT_0008318	Indazoles
OMIT_0008319	Indenes
OMIT_0008320	Independent Practice Associations
OMIT_0008321	India
OMIT_0008322	Indian Ocean Islands
OMIT_0008323	Indiana
OMIT_0008324	Indians, Central American
OMIT_0008325	Indians, North American
OMIT_0008326	Indians, South American
OMIT_0008327	Indican
OMIT_0008328	Indicator Dilution Techniques
OMIT_0008329	Indicators and Reagents
OMIT_0008330	Indigo Carmine
OMIT_0008331	Indium
OMIT_0008332	Indium Radioisotopes
OMIT_0008333	Individuality
OMIT_0008334	Individuation
OMIT_0008335	Indocyanine Green
OMIT_0008336	Indole-3-Glycerol-Phosphate Synthase
OMIT_0008337	Indoleacetic Acids
OMIT_0008338	Indoles
OMIT_0008339	Indolizines
OMIT_0008340	Indomethacin
OMIT_0008341	Indonesia
OMIT_0008342	Indophenol
OMIT_0008343	Indoprofen
OMIT_0008344	Indoramin
OMIT_0008345	Industrial Microbiology
OMIT_0008346	Industrial Oils
OMIT_0008347	Industrial Waste
OMIT_0008348	Industry
OMIT_0008349	Inert Gas Narcosis
OMIT_0008350	Infant
OMIT_0008351	Infant Care
OMIT_0008352	Infant Food
OMIT_0008353	Infant Mortality
OMIT_0008354	Infant Nutritional Physiological Phenomena
OMIT_0008355	Infant Nutrition Disorders
OMIT_0008356	Infant Welfare
OMIT_0008357	Infant, Low Birth Weight
OMIT_0008358	Infant, Newborn
OMIT_0008359	Infant, Newborn, Diseases
OMIT_0008360	Infant, Postmature
OMIT_0008361	Infant, Premature
OMIT_0008362	Infant, Premature, Diseases
OMIT_0008363	Infant, Small for Gestational Age
OMIT_0008364	Infanticide
OMIT_0008365	Infarction
OMIT_0008366	Infection
OMIT_0008367	Arteritis Virus, Equine
OMIT_0008368	Infectious Bovine Rhinotracheitis
OMIT_0008369	Herpesvirus 1, Bovine
OMIT_0008370	Infectious bursal disease virus
OMIT_0008371	Infectious Mononucleosis
OMIT_0008372	Inferior Colliculi
OMIT_0008373	Infertility
OMIT_0008374	Infertility, Female
OMIT_0008375	Infertility, Male
OMIT_0008376	Inflammation
OMIT_0008377	Inflation, Economic
OMIT_0008378	Influenza, Human
OMIT_0008379	Influenza Vaccines
OMIT_0008380	Information Centers
OMIT_0008381	Information Science
OMIT_0008382	Information Services
OMIT_0008383	Information Systems
OMIT_0008384	Information Theory
OMIT_0008385	Informed Consent
OMIT_0008386	Infrared Rays
OMIT_0008387	Infusion Pumps
OMIT_0008388	Infusions, Intra-Arterial
OMIT_0008389	Infusions, Intravenous
OMIT_0008390	Infusions, Parenteral
OMIT_0008391	Inguinal Canal
OMIT_0008392	Inhibins
OMIT_0008393	Inhibition (Psychology)
OMIT_0008394	Injections
OMIT_0008395	Injections, Epidural
OMIT_0008396	Injections, Intra-Arterial
OMIT_0008397	Injections, Intra-Articular
OMIT_0008398	Injections, Intradermal
OMIT_0008399	Injections, Intralymphatic
OMIT_0008400	Injections, Intramuscular
OMIT_0008401	Injections, Intraperitoneal
OMIT_0008402	Injections, Intravenous
OMIT_0008403	Injections, Intraventricular
OMIT_0008404	Injections, Jet
OMIT_0008405	Injections, Spinal
OMIT_0008406	Injections, Subcutaneous
OMIT_0008407	Disorders of Environmental Origin
OMIT_0008408	Ink
OMIT_0008409	Ink Blot Tests
OMIT_0008410	Inlay Casting Wax
OMIT_0008411	Inlays
OMIT_0008412	Inorganic Chemicals
OMIT_0008413	Inosine
OMIT_0008414	Cyclic IMP
OMIT_0008415	Inosine Diphosphate
OMIT_0008416	Inosine Monophosphate
OMIT_0008417	Inosine Nucleotides
OMIT_0008418	Inosine Triphosphate
OMIT_0008419	Inositol
OMIT_0008420	Inositol Phosphates
OMIT_0008421	Myo-Inositol-1-Phosphate Synthase
OMIT_0008422	Inpatients
OMIT_0008423	Insanity Defense
OMIT_0008424	Insect Bites and Stings
OMIT_0008425	Insect Control
OMIT_0008426	Insect Hormones
OMIT_0008427	Insect Repellents
OMIT_0008428	Insect Vectors
OMIT_0008429	Insect Viruses
OMIT_0008430	Insecticide Resistance
OMIT_0008431	Insecticides
OMIT_0008432	Insectivora
OMIT_0008433	Insects
OMIT_0008434	Insemination
OMIT_0008435	Insemination, Artificial
OMIT_0008436	Insemination, Artificial, Heterologous
OMIT_0008437	Insemination, Artificial, Homologous
OMIT_0008438	Inservice Training
OMIT_0008439	Sleep Initiation and Maintenance Disorders
OMIT_0008440	Inspiratory Capacity
OMIT_0008441	Inspiratory Reserve Volume
OMIT_0008442	Instillation, Drug
OMIT_0008443	Instinct
OMIT_0008444	Institutional Management Teams
OMIT_0008445	Institutional Practice
OMIT_0008446	Institutionalization
OMIT_0008447	Insufflation
OMIT_0008448	Insulin
OMIT_0008449	Insulin Antagonists
OMIT_0008450	Insulin Antibodies
OMIT_0008451	Insulin Coma
OMIT_0008452	Insulin Infusion Systems
OMIT_0008453	Insulin Resistance
OMIT_0008454	Insulin-Like Growth Factor I
OMIT_0008455	Insulin-Like Growth Factor II
OMIT_0008456	Insulin, Isophane
OMIT_0008457	Insulysin
OMIT_0008458	Insulinoma
OMIT_0008459	Insurance
OMIT_0008460	Insurance Benefits
OMIT_0008461	Insurance Carriers
OMIT_0008462	Insurance Claim Reporting
OMIT_0008463	Insurance Claim Review
OMIT_0008464	Insurance, Accident
OMIT_0008465	Insurance, Dental
OMIT_0008466	Insurance, Health
OMIT_0008467	Insurance, Health, Reimbursement
OMIT_0008468	Insurance, Hospitalization
OMIT_0008469	Insurance, Liability
OMIT_0008470	Insurance, Life
OMIT_0008471	Insurance, Long-Term Care
OMIT_0008472	Insurance, Major Medical
OMIT_0008473	Insurance, Nursing Services
OMIT_0008474	Insurance, Pharmaceutical Services
OMIT_0008475	Insurance, Physician Services
OMIT_0008476	Insurance, Psychiatric
OMIT_0008477	Insurance, Surgical
OMIT_0008478	Intelligence
OMIT_0008479	Intelligence Tests
OMIT_0008480	Intensive Care Units
OMIT_0008481	Intensive Care Units, Neonatal
OMIT_0008482	Intercalating Agents
OMIT_0008483	Intercellular Junctions
OMIT_0008484	Intercostal Muscles
OMIT_0008485	Intercostal Nerves
OMIT_0008486	Interferometry
OMIT_0008487	Interferon Inducers
OMIT_0008488	Interferon Type I
OMIT_0008489	Interferon-gamma
OMIT_0008490	Interferons
OMIT_0008491	Interinstitutional Relations
OMIT_0008492	Interior Design and Furnishings
OMIT_0008493	Interleukin-1
OMIT_0008494	Interleukin-2
OMIT_0008495	Interleukin-3
OMIT_0008496	Interleukins
OMIT_0008497	Interlibrary Loans
OMIT_0008498	Intermediate Care Facilities
OMIT_0008499	Intermediate Filament Proteins
OMIT_0008500	Intermediate Filaments
OMIT_0008501	Intermittent Claudication
OMIT_0008502	Intermittent Positive-Pressure Breathing
OMIT_0008503	Intermittent Positive-Pressure Ventilation
OMIT_0008504	Internal Mammary-Coronary Artery Anastomosis
OMIT_0008505	Internal Medicine
OMIT_0008506	Internal-External Control
OMIT_0008507	International Agencies
OMIT_0008508	International Cooperation
OMIT_0008509	International Council of Nurses
OMIT_0008510	International Educational Exchange
OMIT_0008511	International System of Units
OMIT_0008512	Interneurons
OMIT_0008513	Internship and Residency
OMIT_0008514	Internship, Nonmedical
OMIT_0008515	Interpersonal Relations
OMIT_0008516	Interphase
OMIT_0008517	Interprofessional Relations
OMIT_0008518	Interrenal Gland
OMIT_0008519	Intertrigo
OMIT_0008520	Intervertebral Disc
OMIT_0008521	Intervertebral Disc Chemolysis
OMIT_0008522	Intervertebral Disc Displacement
OMIT_0008523	Interview, Psychological
OMIT_0008524	Interviews as Topic
OMIT_0008525	Intestinal Absorption
OMIT_0008526	Intestinal Atresia
OMIT_0008527	Intestinal Diseases
OMIT_0008528	Intestinal Diseases, Parasitic
OMIT_0008529	Intestinal Fistula
OMIT_0008530	Intestinal Mucosa
OMIT_0008531	Intestinal Neoplasms
OMIT_0008532	Intestinal Obstruction
OMIT_0008533	Intestinal Perforation
OMIT_0008534	Intestinal Polyps
OMIT_0008535	Intestinal Pseudo-Obstruction
OMIT_0008536	Intestinal Secretions
OMIT_0008537	Intestine, Large
OMIT_0008538	Intestine, Small
OMIT_0008539	Intestines
OMIT_0008540	Intra-Aortic Balloon Pumping
OMIT_0008541	Intracellular Fluid
OMIT_0008542	Intracellular Membranes
OMIT_0008543	Genes, Intracisternal A-Particle
OMIT_0008544	Intracranial Pressure
OMIT_0008545	Intradermal Tests
OMIT_0008546	Intraocular Pressure
OMIT_0008547	Intraoperative Care
OMIT_0008548	Intraoperative Complications
OMIT_0008549	Intraoperative Period
OMIT_0008550	Intrauterine Device Expulsion
OMIT_0008551	Intrauterine Devices
OMIT_0008552	Intrauterine Devices, Copper
OMIT_0008553	Intrauterine Devices, Medicated
OMIT_0008554	Intrinsic Factor
OMIT_0008555	Introns
OMIT_0008556	Introversion (Psychology)
OMIT_0008557	Intubation
OMIT_0008558	Intubation, Gastrointestinal
OMIT_0008559	Intubation, Intratracheal
OMIT_0008560	Intussusception
OMIT_0008561	Inulin
OMIT_0008562	Inventories, Hospital
OMIT_0008563	Chromosome Inversion
OMIT_0008564	Invertebrate Hormones
OMIT_0008565	Invertebrates
OMIT_0008566	Investments
OMIT_0008567	Iodamide
OMIT_0008568	Iodates
OMIT_0008569	Iodide Peroxidase
OMIT_0008570	Iodides
OMIT_0008571	Iodine
OMIT_0008572	Iodine Isotopes
OMIT_0008573	Iodine Radioisotopes
OMIT_0008574	Iodipamide
OMIT_0008575	Iodized Oil
OMIT_0008576	Iodoacetamide
OMIT_0008577	Iodoacetates
OMIT_0008578	Iodobenzenes
OMIT_0008579	Iodobenzoates
OMIT_0008580	Clioquinol
OMIT_0008581	Iodohippuric Acid
OMIT_0008582	Iodophors
OMIT_0008583	Iodoproteins
OMIT_0008584	Iodopyracet
OMIT_0008585	Iodopyridones
OMIT_0008586	Monoiodotyrosine
OMIT_0008587	Ioglycamic Acid
OMIT_0008588	Iohexol
OMIT_0008589	Ion Channels
OMIT_0008590	Ion Exchange
OMIT_0008591	Ion Exchange Resins
OMIT_0008592	Ionophores
OMIT_0008593	Ions
OMIT_0008594	Iontophoresis
OMIT_0008595	Iopamidol
OMIT_0008596	Iopanoic Acid
OMIT_0008597	Iophendylate
OMIT_0008598	Iothalamate Meglumine
OMIT_0008599	Iothalamic Acid
OMIT_0008600	Iowa
OMIT_0008601	Ioxaglic Acid
OMIT_0008602	Ipecac
OMIT_0008603	Ipodate
OMIT_0008604	Iprindole
OMIT_0008605	Iproniazid
OMIT_0008606	Ipronidazole
OMIT_0008607	Iran
OMIT_0008608	Iraq
OMIT_0008609	Ireland
OMIT_0008610	Iridium
OMIT_0008611	Iridium Radioisotopes
OMIT_0008612	Iridoviridae
OMIT_0008613	Iris
OMIT_0008614	Iris Diseases
OMIT_0008615	Iritis
OMIT_0008616	Iron
OMIT_0008617	Iron Chelating Agents
OMIT_0008618	Iron Isotopes
OMIT_0008619	Iron Radioisotopes
OMIT_0008620	Iron-Dextran Complex
OMIT_0008621	Iron-Sulfur Proteins
OMIT_0008622	Therapeutic Irrigation
OMIT_0008623	Irritable Mood
OMIT_0008624	Irritants
OMIT_0008625	Isatin
OMIT_0008626	Ischemia
OMIT_0008627	Ischium
OMIT_0008628	Isethionic Acid
OMIT_0008629	Islam
OMIT_0008630	Islets of Langerhans
OMIT_0008631	Adenoma, Islet Cell
OMIT_0008632	Isoamylase
OMIT_0008633	Isoantibodies
OMIT_0008634	Isoantigens
OMIT_0008635	Isocarboxazid
OMIT_0008636	Isocitrate Dehydrogenase
OMIT_0008637	Isocitrate Lyase
OMIT_0008638	Isocitrates
OMIT_0008639	Isodesmosine
OMIT_0008640	Isoelectric Focusing
OMIT_0008641	Isoelectric Point
OMIT_0008642	Isoenzymes
OMIT_0008643	Isoetharine
OMIT_0008644	Isoflavones
OMIT_0008645	Isoflurane
OMIT_0008646	Isoflurophate
OMIT_0008647	Isoleucine
OMIT_0008648	Isoleucine-tRNA Ligase
OMIT_0008649	Isomaltose
OMIT_0008650	Isomerases
OMIT_0008651	Isomerism
OMIT_0008652	Isometric Contraction
OMIT_0008653	Isoniazid
OMIT_0008654	Isonicotinic Acids
OMIT_0008655	Isonipecotic Acids
OMIT_0008656	Isopentenyladenosine
OMIT_0008657	Inosine Pranobex
OMIT_0008658	Isopropyl Thiogalactoside
OMIT_0008659	Isoproterenol
OMIT_0008660	Isoquinolines
OMIT_0008661	Isosorbide
OMIT_0008662	Isosorbide Dinitrate
OMIT_0008663	Isospora
OMIT_0008664	Isothiuronium
OMIT_0008665	Isotonic Contraction
OMIT_0008666	Isotonic Solutions
OMIT_0008667	Isotope Labeling
OMIT_0008668	Isotopes
OMIT_0008669	Isoxazoles
OMIT_0008670	Isoxsuprine
OMIT_0008671	Israel
OMIT_0008672	Italy
OMIT_0008673	Ivermectin
OMIT_0008674	Cote d'Ivoire
OMIT_0008675	Creutzfeldt-Jakob Syndrome
OMIT_0008676	Jamaica
OMIT_0008677	Japan
OMIT_0008678	Jaundice
OMIT_0008679	Jaundice, Chronic Idiopathic
OMIT_0008680	Jaundice, Neonatal
OMIT_0008681	Jaw
OMIT_0008682	Jaw Abnormalities
OMIT_0008683	Jaw Cysts
OMIT_0008684	Jaw Diseases
OMIT_0008685	Jaw Fractures
OMIT_0008686	Jaw Neoplasms
OMIT_0008687	Jaw Relation Record
OMIT_0008688	Jaw, Edentulous
OMIT_0008689	Jaw, Edentulous, Partially
OMIT_0008690	JC Virus
OMIT_0008691	Jealousy
OMIT_0008692	Jejunal Diseases
OMIT_0008693	Jejunal Neoplasms
OMIT_0008694	Jejunoileal Bypass
OMIT_0008695	Jejunostomy
OMIT_0008696	Jejunum
OMIT_0008697	Jews
OMIT_0008698	Job Application
OMIT_0008699	Job Description
OMIT_0008700	Job Satisfaction
OMIT_0008701	Job Syndrome
OMIT_0008702	Jogging
OMIT_0008703	Joint Commission on Accreditation of Healthcare Organizations
OMIT_0008704	Joint Diseases
OMIT_0008705	Joint Instability
OMIT_0008706	Joint Loose Bodies
OMIT_0008707	Joint Prosthesis
OMIT_0008708	Joints
OMIT_0008709	Jordan
OMIT_0008710	Journalism, Dental
OMIT_0008711	Judaism
OMIT_0008712	Judgment
OMIT_0008713	Jugular Veins
OMIT_0008714	Jungian Theory
OMIT_0008715	Jurisprudence
OMIT_0008716	Juvenile Delinquency
OMIT_0008717	Juvenile Hormones
OMIT_0008718	Juxtaglomerular Apparatus
OMIT_0008719	Kainic Acid
OMIT_0008720	Kallidin
OMIT_0008721	Kallikreins
OMIT_0008722	Aprotinin
OMIT_0008723	Kanamycin
OMIT_0008724	Kanamycin Resistance
OMIT_0008725	Macropodidae
OMIT_0008726	Kansas
OMIT_0008727	Kaolin
OMIT_0008728	Kaposi Varicelliform Eruption
OMIT_0008729	Karaya Gum
OMIT_0008730	Kartagener Syndrome
OMIT_0008731	Karyometry
OMIT_0008732	Karyotyping
OMIT_0008733	Kazakhstan
OMIT_0008734	KB Cells
OMIT_0008735	Kearns-Sayre Syndrome
OMIT_0008736	Kell Blood-Group System
OMIT_0008737	Keloid
OMIT_0008738	Kentucky
OMIT_0008739	Kenya
OMIT_0008740	Chlordecone
OMIT_0008741	Keratan Sulfate
OMIT_0008742	Keratins
OMIT_0008743	Keratitis
OMIT_0008744	Keratitis, Dendritic
OMIT_0008745	Keratoacanthoma
OMIT_0008746	Keratoconjunctivitis
OMIT_0008747	Keratoconjunctivitis Sicca
OMIT_0008748	Keratoconjunctivitis, Infectious
OMIT_0008749	Keratoconus
OMIT_0008750	Keratolytic Agents
OMIT_0008751	Keratosis
OMIT_0008752	Darier Disease
OMIT_0008753	Keratoderma, Palmoplantar
OMIT_0008754	Keratotomy, Radial
OMIT_0008755	Kernicterus
OMIT_0008756	Kerosene
OMIT_0008757	Ketamine
OMIT_0008758	Ketanserin
OMIT_0008759	Keto Acids
OMIT_0008760	Oxo-Acid-Lyases
OMIT_0008761	Ketocholesterols
OMIT_0008762	Ketoconazole
OMIT_0008763	Ketoglutarate Dehydrogenase Complex
OMIT_0008764	Ketoglutaric Acids
OMIT_0008765	Ketone Bodies
OMIT_0008766	Ketone Oxidoreductases
OMIT_0008767	Ketones
OMIT_0008768	Ketoprofen
OMIT_0008769	Ketoses
OMIT_0008770	Ketosis
OMIT_0008771	Ketosteroids
OMIT_0008772	Ketotifen
OMIT_0008773	Khellin
OMIT_0008774	Kidd Blood-Group System
OMIT_0008775	Kidney
OMIT_0008776	Kidney Calculi
OMIT_0008777	Kidney Calices
OMIT_0008778	Kidney Concentrating Ability
OMIT_0008779	Kidney Cortex
OMIT_0008780	Kidney Cortex Necrosis
OMIT_0008781	Kidney Diseases
OMIT_0008782	Kidney Failure, Chronic
OMIT_0008783	Kidney Function Tests
OMIT_0008784	Kidney Glomerulus
OMIT_0008785	Kidney Medulla
OMIT_0008786	Kidney Neoplasms
OMIT_0008787	Kidney Papillary Necrosis
OMIT_0008788	Kidney Pelvis
OMIT_0008789	Kidney Tubular Necrosis, Acute
OMIT_0008790	Kidney Tubules
OMIT_0008791	Kidney Tubules, Collecting
OMIT_0008792	Kidney Tubules, Distal
OMIT_0008793	Kidney Tubules, Proximal
OMIT_0008794	Kidneys, Artificial
OMIT_0008795	Polycystic Kidney Diseases
OMIT_0008796	Medullary Sponge Kidney
OMIT_0008797	Diatomaceous Earth
OMIT_0008798	Killer Cells, Natural
OMIT_0008799	Killifishes
OMIT_0008800	Kindling, Neurologic
OMIT_0008801	Kinesics
OMIT_0008802	Kinesis
OMIT_0008803	Kinesthesis
OMIT_0008804	Kinetics
OMIT_0008805	Kinetin
OMIT_0008806	Kinetocardiography
OMIT_0008807	Peptidyl-Dipeptidase A
OMIT_0008808	Kininogens
OMIT_0008809	Kinins
OMIT_0008810	Menkes Kinky Hair Syndrome
OMIT_0008811	Kyrgyzstan
OMIT_0008812	Kirsten murine sarcoma virus
OMIT_0008813	Klebsiella
OMIT_0008814	Klebsiella Infections
OMIT_0008815	Klebsiella pneumoniae
OMIT_0008816	Klinefelter Syndrome
OMIT_0008817	Klippel-Feil Syndrome
OMIT_0008818	Klippel-Trenaunay-Weber Syndrome
OMIT_0008819	Kluyveromyces
OMIT_0008820	Knee
OMIT_0008821	Knee Injuries
OMIT_0008822	Knee Joint
OMIT_0008823	Knee Prosthesis
OMIT_0008824	Knowledge of Results (Psychology)
OMIT_0008825	Health Knowledge, Attitudes, Practice
OMIT_0008826	Korea
OMIT_0008827	Vulvar Lichen Sclerosus
OMIT_0008828	Krukenberg Tumor
OMIT_0008829	Krypton
OMIT_0008830	Krypton Radioisotopes
OMIT_0008831	Kupffer Cells
OMIT_0008832	Kuru
OMIT_0008833	Kuwait
OMIT_0008834	Kveim Test
OMIT_0008835	Kwashiorkor
OMIT_0008836	Kyasanur Forest Disease
OMIT_0008837	Kymography
OMIT_0008838	Kynuramine
OMIT_0008839	Kynurenic Acid
OMIT_0008840	Kynurenine
OMIT_0008841	Kyphosis
OMIT_0008842	L Cells (Cell Line)
OMIT_0008843	L Forms
OMIT_0008844	Labetalol
OMIT_0008845	Labial Frenum
OMIT_0008846	Labor, Obstetric
OMIT_0008847	Obstetric Labor Complications
OMIT_0008848	Labor Onset
OMIT_0008849	Labor Presentation
OMIT_0008850	Labor Stage, First
OMIT_0008851	Labor Stage, Second
OMIT_0008852	Labor Stage, Third
OMIT_0008853	Labor Unions
OMIT_0008854	Labor, Induced
OMIT_0008855	Obstetric Labor, Premature
OMIT_0008856	Laboratories
OMIT_0008857	Laboratories, Dental
OMIT_0008858	Laboratories, Hospital
OMIT_0008859	Laboratory Animal Science
OMIT_0008860	Laboratory Infection
OMIT_0008861	Ear, Inner
OMIT_0008862	Labyrinth Diseases
OMIT_0008863	Labyrinth Supporting Cells
OMIT_0008864	Labyrinthine Fluids
OMIT_0008865	Labyrinthitis
OMIT_0008866	Lac Operon
OMIT_0008867	Lacquer
OMIT_0008868	Lacrimal Apparatus
OMIT_0008869	Lacrimal Apparatus Diseases
OMIT_0008870	Lacrimal Duct Obstruction
OMIT_0008871	Lactalbumin
OMIT_0008872	Lactams
OMIT_0008873	L-Lactate Dehydrogenase
OMIT_0008874	Lactate dehydrogenase-elevating virus
OMIT_0008875	Lactates
OMIT_0008876	Lactation
OMIT_0008877	Lactation Disorders
OMIT_0008878	Lactobacillaceae
OMIT_0008879	Lactobacillus
OMIT_0008880	Lactobacillus acidophilus
OMIT_0008881	Lactobacillus casei
OMIT_0008882	Lactoferrin
OMIT_0008883	Lactoglobulins
OMIT_0008884	Lactones
OMIT_0008885	Lactoperoxidase
OMIT_0008886	Lactose
OMIT_0008887	Lactose Factors
OMIT_0008888	Lactose Intolerance
OMIT_0008889	Lactose Synthase
OMIT_0008890	Lactose Tolerance Test
OMIT_0008891	Lactosylceramides
OMIT_0008892	Lactoylglutathione Lyase
OMIT_0008893	Lactulose
OMIT_0008894	Lagomorpha
OMIT_0008895	Lameness, Animal
OMIT_0008896	Laminaria
OMIT_0008897	Laminectomy
OMIT_0008898	Laminin
OMIT_0008899	Lampreys
OMIT_0008900	Lanatosides
OMIT_0008901	Langerhans Cells
OMIT_0008902	Language
OMIT_0008903	Language Arts
OMIT_0008904	Language Development
OMIT_0008905	Language Development Disorders
OMIT_0008906	Language Disorders
OMIT_0008907	Language Tests
OMIT_0008908	Language Therapy
OMIT_0008909	Lanolin
OMIT_0008910	Lanosterol
OMIT_0008911	Lanthanum
OMIT_0008912	Laos
OMIT_0008913	Laparotomy
OMIT_0008914	Larva
OMIT_0008915	Larva Migrans
OMIT_0008916	Larva Migrans, Visceral
OMIT_0008917	Laryngeal Cartilages
OMIT_0008918	Laryngeal Diseases
OMIT_0008919	Laryngeal Edema
OMIT_0008920	Laryngeal Mucosa
OMIT_0008921	Laryngeal Muscles
OMIT_0008922	Laryngeal Neoplasms
OMIT_0008923	Laryngeal Nerves
OMIT_0008924	Laryngectomy
OMIT_0008925	Laryngismus
OMIT_0008926	Laryngitis
OMIT_0008927	Laryngoscopy
OMIT_0008928	Laryngostenosis
OMIT_0008929	Larynx
OMIT_0008930	Larynx, Artificial
OMIT_0008931	Lasalocid
OMIT_0008932	Lasers
OMIT_0008933	Lassa Fever
OMIT_0008934	Lassa virus
OMIT_0008935	Latency Period (Psychology)
OMIT_0008936	Functional Laterality
OMIT_0008937	Latex
OMIT_0008938	Latex Fixation Tests
OMIT_0008939	Lathyrism
OMIT_0008940	Latin America
OMIT_0008941	Latvia
OMIT_0008942	Laughter
OMIT_0008943	Laundering
OMIT_0008944	Laundry Service, Hospital
OMIT_0008945	Laurates
OMIT_0008946	Laurence-Moon Syndrome
OMIT_0008947	Lauric Acids
OMIT_0008948	Dodecanol
OMIT_0008949	Lawrencium
OMIT_0008950	Lead
OMIT_0008951	Lead Poisoning
OMIT_0008952	Lead Radioisotopes
OMIT_0008953	Leadership
OMIT_0008954	Learning
OMIT_0008955	Learning Disorders
OMIT_0008956	Leasing, Property
OMIT_0008957	Lebanon
OMIT_0008958	Phosphatidylcholine-Sterol O-Acyltransferase
OMIT_0008959	Lecithin Acyltransferase Deficiency
OMIT_0008960	Leeches
OMIT_0008961	Leg
OMIT_0008962	Leg Bones
OMIT_0008963	Leg Dermatoses
OMIT_0008964	Leg Injuries
OMIT_0008965	Leg Length Inequality
OMIT_0008966	Leg Ulcer
OMIT_0008967	Legal Guardians
OMIT_0008968	Legg-Calve-Perthes Disease
OMIT_0008969	Leghemoglobin
OMIT_0008970	Legionella
OMIT_0008971	Legionellosis
OMIT_0008972	Legionnaires' Disease
OMIT_0008973	Legislation as Topic
OMIT_0008974	Legislation, Dental
OMIT_0008975	Legislation, Drug
OMIT_0008976	Legislation, Food
OMIT_0008977	Legislation, Hospital
OMIT_0008978	Legislation, Medical
OMIT_0008979	Legislation, Nursing
OMIT_0008980	Legislation, Pharmacy
OMIT_0008981	Legislation, Veterinary
OMIT_0008982	Fabaceae
OMIT_0008983	Leigh Disease
OMIT_0008984	Leiomyoma
OMIT_0008985	Leiomyosarcoma
OMIT_0008986	Leishmania
OMIT_0008987	Leishmania braziliensis
OMIT_0008988	Leishmania donovani
OMIT_0008989	Leishmania mexicana
OMIT_0008990	Leishmania tropica
OMIT_0008991	Leishmaniasis
OMIT_0008992	Leishmaniasis, Mucocutaneous
